vendor_code,vendor_name,city_id,business_line,grade
2xkmg5,فست فود گل رز,5,Restaurant,A
2mmr8g,مون ویچ,1,Restaurant,Not Enough Comments
59xn3r,فست فود دلیش ,1,Restaurant,Not Enough Comments
547ogp,برکه,1,Restaurant,Not Enough Comments
5w1mpk,آقای جیگر,1,Restaurant,Not Enough Comments
2k3318,رستوران باران,1,Restaurant,Not Enough Comments
5lwgxn,رستوران غذای دریایی سولو,1,Restaurant,Not Enough Comments
5ox6yp,رستوران افق طلایی ,1,Restaurant,Not Enough Comments
2yo87g,تهیه غذای زاگرس ,2,Restaurant,A
2n7r65,کباب و کوبیده مرغ ساحل,1,Restaurant,Not Enough Comments
2g933m,غذای خانگی مامان رعنا,2,Restaurant,A
2yo146,چلوکبابی نوبهار,2,Restaurant,A
59nz77,سوسیس بدنساز ,1,Restaurant,Not Enough Comments
2nkmr8,چلو کبابی آتون,1,Restaurant,Not Enough Comments
51o6pr,کبابسرای صادق,1,Restaurant,Not Enough Comments
27n1w5,خانه سوخاری چیکو پیکو,1,Restaurant,Not Enough Comments
5rwy97,کترینگ و رستوران فرهان,1,Restaurant,Not Enough Comments
2r9yp4,فست فود شاه پسند,1,Restaurant,Not Enough Comments
5x73o6,بستنی ویژن,2,Ice Cream and Juice Shop,A
2kl4wz,فست فود شب کوک,1,Restaurant,Not Enough Comments
286pml,مستر فود,1,Restaurant,Not Enough Comments
51owgn,سوخاری پلاس,1,Restaurant,Not Enough Comments
533mgn,غذای خوب مادر,1,Restaurant,Not Enough Comments
54nz3w,رستوران کیبو,2,Restaurant,A
2kgzn2,کباب سرای ازقندی,1,Restaurant,Not Enough Comments
5ox7kn,ساندویچ مون,1,Restaurant,Not Enough Comments
2o1xn2,رستوران کاکتوس (فودکورت آرمیتاژ ),1,Restaurant,A
2w1xm6,کباب سید امیر,1,Restaurant,Not Enough Comments
2zl77o,چلو اکبر جوجه گلوگاه,2,Restaurant,A
2p9945,غذای خونگی نیمروز,1,Restaurant,Not Enough Comments
533wwk,رستوران پاشالانژ,1,Restaurant,Not Enough Comments
5zkr1m,آبمیوه ویتانا,1,Ice Cream and Juice Shop,A
247mkl,کارویچ,1,Restaurant,Not Enough Comments
2x7ywx,کترینگ ناریش,1,Restaurant,Not Enough Comments
5yo6rn,فلفل قرمز (شاهین شمالی),2,Restaurant,A
28gly5,نان مهرزاد,1,Bakery,A
569ym8,نایس ویچ,1,Restaurant,Not Enough Comments
5klglk,مرغ بریان یک ,1,Restaurant,Not Enough Comments
26krz5,فست فود ممتاز ویژه,1,Restaurant,Not Enough Comments
2xgx9x,چلو کبابی محمدی,2,Restaurant,A
53z146,مغز پخت,1,Restaurant,Not Enough Comments
21kykx,هشتگ سوخاری,1,Restaurant,Not Enough Comments
29nw41,کباب جواد ,1,Restaurant,Not Enough Comments
5y4ozl,لقمه چی,1,Restaurant,Not Enough Comments
277gm4,رستوران اصل جوان,2,Restaurant,A
21y3nr,فست فود تاپ استیک,2,Restaurant,A
23161y,قهوه فروشی سام,2,Cafe,A
5839y2,کباب سلطان,1,Restaurant,Not Enough Comments
2g9o3k,پیتزا سوخاری چیل,1,Restaurant,Not Enough Comments
5lzkpo,کباب سرای سادات رضوی,1,Restaurant,Not Enough Comments
29x3ll,کافه رستوران مونوپولی,2,Restaurant,A
594n17,مجموعه غذایی زعفرانیه ,1,Restaurant,Not Enough Comments
2r64yg,فست فود فرید,2,Restaurant,A
2mykpw,ساندویچ جمشید,1,Restaurant,Not Enough Comments
